rest_id,rest_name
19525340,Sri Murugan Cafe
19764753,Habibi Falafel
50359,Delhi Food Point
50915,Sree Krishna Kafe
20267246,FB Café By Frozen Bottle
19314149,Al Zara Mandi Arabian Restaurant
19219231,Say Cheese Cake
19792497,Maharaja Military Canteen
54872,Hotel Salala
19362843,Tandoori Taal
19023464,Namma Madurai
18648062,Swiss Cream
20437073,Sindhoora Gardenia
18457619,Tawakkal Mubarak Hotel
19360780,Kabab Biryani Corner
19695861,Kanti Bakes & Flakes
20405135,Olio - The Wood Fired Pizzeria
53416,Savitha Family Restaurant
20240932,Louis Burger
18802231,Fiero! Pizzeria
53059,Lakeview Milkbar
57874,Hyderabadi Biryani Utsav
54867,Juicy
19456813,Asia Kitchen By Mainland China
19712433,Karim's Delhi 6
19168677,Kunafa World
20306213,Malabar Hotel
19232371,Carols Pastries & Bakers
19920601,Keventers Ice Cream
19591781,Boss Burger
19992242,Carols Pastries & Bakers
19318376,Just Cakes
57438,Church Street Social
18346355,Salt - Indian Restaurant Bar & Grill
19541509,BigBites
19900128,Dawat Durbar
18011679,Karama Restaurant
19861235,No Sugar Please!
20214788,Giani Icecream
19808015,Burger It Up
19547327,Udupi Krishna Grand
19767627,Umpire Chicken County
51791,Sagar Delicacy
19742291,Kouzina Kafe - The Food Court
18741892,Chianti
53620,Manjit Da Dhaba
20179956,Food Adda
59194,Just Bake - Cakes & Confectioners
19879484,Udupi Shanthi Sagar
18729757,Shahi Family Restaurant
54360,Al Noor
19831508,Sweet Bake - Cake & Desserts
19255975,The Bangalore Creamery
20233067,O4H - Order For Health
20304345,Tunday Kababi
18758393,Sheesh Kebab
19424940,Dhaba - Estd 1986 Delhi
19514081,Mega Biryani
19745980,GLOBO Ice Creams Of The World
20129631,Mr. Chow
18551329,Punjabi Tandoor
18563922,Lion King
20180001,Pind Punjabi
51234,Kabab Korner
61476,No.10 Fort Cochin
19968091,Kachori Chowk
18263418,Little Italy
61480,Nasi And Mee
57750,Art of Delight
19941062,Thali 99
51748,KC Das - Sweet Bite
59313,Delicious Momos
19835601,Zwarma
18739617,Samosa Singh
20228687,North Indian Bhukkads - NIB
56606,Barley & Grapes Cafe
19018541,Food Manthra
19704506,ITC Sunfeast Baked Creations
19812804,The Brooklyn Creamery - Healthy Ice Cream
20000880,Delhi 6 Chandni Chowk
19389589,Brahmins Tiffin Centre
20189605,India Sweet House
18639058,Grow Fit
19185177,Udupi Food Point
19086375,Oru Vadakkan Cafe
51361,Malabar
50957,Tamarind - Tamarind Hospitality
19868630,Simpli Namdhari's
18681029,Paratha Corner
19611889,Paratha Plaza
19507771,AL Bain Restaurant
19795088,Oh My Shawarma
19175683,The Betel Leaf Co - Originally from Bangalore
55788,Smoke House Deli
18670123,Chef's Cap
20281004,New Taj Hotel
60953,Kenny's Restaurant
19567694,Lassi Shop
19228301,Go Native
18627599,Mangalore Pearl - Seafood Restaurant
20211949,Baba Ganoush Cafe
18821016,Barkaas- Arabic Restaurant
19345127,Chandni Chowk 2 Bangalore
57231,Sri Ganesh Juice Junction
19979674,Karim's - Original From Delhi 6 Jama Masjid
19308718,Raffaele's Ristorante Pizzeria
50979,The Biryanis
19960685,Restaurant Chef Pillai
19714375,Bake N Bloom
19421268,The Fatty Bao
57636,Tibb's Frankie
55193,Sweet Chariot
19600306,The Pastry Zone
18696207,Mizo Kitchen
18435697,Rajpurohit Sweets
18140790,Kentacky Chicken Corner
