name,locality,lat,long,review
Faasos - Wraps & Rolls,"Shop 1, Maruti Sankeema, New Thipasandra Main Road, Hal 3rd Stage, Thippasandra, Bangalore",12.9713595873,77.6583509892,5507
Paradise Biryani,"438, Sector 4, HSR Layout, Near HSR, Bangalore",12.9121631831,77.6435991749,432
FreshMenu,"102B, First Floor, Motati Meadows, Above ICICI Bank, Nagawarapalya Main Road, CV Raman Nagar, Bangalore",12.9939644000,77.6638581000,18038
Taco Bell,"6, Shop G3&G4, Ground Floor, Gopalan Signature Tower, C V Raman Nagar, Nagavara Palya, Old Madras Road, Bangalore",12.9928270808,77.6614964924,1
EatFit,"327, Ground Floor, 4th Cross, Ombr Layout, Banaswadi, Bangalore",13.0084294912,77.6516910642,1955
Dindigul Thalappakatti,"18, Ramashree Arcade, MG Road, Bangalore",12.9722538202,77.6187314093,377
California Burrito,"134, KHB Colony, Koramangala 5th Block, Bangalore",12.9342067138,77.6170127839,1533
WOW! Momo,"66/1-4, A Block, Bagmane Tech Park, CV Raman Nagar, Bangalore",12.9791980000,77.6582340000,0
Potful - Claypot Biryanis,"951/2A, 2nd Floor, Seethappa Colony, HAL 3rd Stage, BEML Main Road, Thippasandra, Bangalore",12.9722005649,77.6528145745,2181
Kapoor's Cafe,"7M-215, 2nd Block, 7th Main Road, 80 Feet Road, HRBR Layout, Kalyan Nagar, Bangalore",13.0178737232,77.6430184767,744
Natural Ice Cream,"20, Ground Floor, 15/16, House Of Lords, St. Marks Road, Bangalore",12.9714556432,77.6008504629,251
Lassi Shop,"208, 2nd Main, East Of NGEF, Kasturi Nagar, Banaswadi, Bangalore",13.0033777851,77.6607140154,0
Biryani Trip - Destination Hyderabad,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, New Thippsandra, Near Jeevan Bhima Nagar, Bangalore",12.9681870000,77.6507770000,14113
Madeena Hotel,"20/A, Block 5, KHB Colony, Near Masjid E Mamoor, Koramangala 5th Block, Bangalore",12.9352160284,77.6157328047,275
Biryani By Kilo,"504, 1st Floor, 6th Cross, Club Road, Koramangala 6th Block, Bangalore",12.9372747329,77.6244300976,311
Anand Sweets And Savouries,"8, Commercial Street, Bangalore",12.9816445417,77.6098227873,2109
Goli Vada Pav,"118/1F, Opposite Dare Building, CV Raman Nagar, Kaggadasapura, Bangalore",12.9858743834,77.6713472977,0
WarmOven Cake & Desserts,"2/4, Khatha 94, 1st Floor, East Taluk Ward 83, Hobli, Main Road, Kaggadasapura, Bangalore",12.9841203162,77.6784859970,5036
Nagarjuna,"44/1, Residency Road, Bangalore",12.9732182943,77.6093208790,2302
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"41/2, 14th Cross, 2nd Stage, Indiranagar, Bangalore",12.9730421931,77.6351934671,127
EasyBites by Empire,"35, Castle Street, Brigade Road, Bangalore",12.9672850203,77.6089621335,414
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","97, Kids Kemp Port, Old Airport Road, Bangalore",12.9591171747,77.6569017261,159
Amma's Pastries,"60, Appareddy Palya, Double Road, Indiranagar, Bangalore",12.9741605479,77.6357929409,487
Narmada Chain of Restaurants,"74, Ground & 1st Floor, Naseer Pride, Madhavraya, Mudaliar Raod, Frazer Town, Bangalore",13.0005897701,77.6142034144,0
Savoury Restaurant,"2nd Cross, Kaggadasapura Main Road, Varsova Layout Kaggadasapura, Bangalore",12.9854415034,77.6729227602,214
Royal Restaurant,"6, HKP Road, Broadway Road, Shivajinagar, Bangalore",12.9857280210,77.6052543148,225
Bakingo,"2, 1st Floor, 4th Cross, Jakkasandra Extension, Sarjapur Road, Near Ujivan Finance Bank, Koramangala 1st Block, Bangalore",12.9245370928,77.6386592165,6420
Vijayalakshmi Veg,"112, MM Road, Frazer Town, Bangalore",13.0009178833,77.6128007099,97
Rolls On Wheels,"3145, HAL, 2nd Stage, Opposite ESI Hospital, Indiranagar, Bangalore",12.9715520257,77.6357993111,84
The Pizza Bakery - Brew & Eatery,"86, Coconut Grove, Spenser Building, Church Street, Bangalore",12.9751560000,77.6045570000,172
Paratha Envy,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, Thippasandra, Bangalore",12.9681870000,77.6507770000,7255
Moriz Nano Restaurant,"38/5, Meanee Avenue, Tank Road, Ulsoor, Bangalore",12.9875702856,77.6189493388,215
Call Me Chow,"41, 7th Cross, 3rd Street, Subbanapalaya, Jai Jawan Nagar, Banaswadi Main Road, Kalyan Nagar, Bangalore",13.0078137138,77.6439857483,2617
The Punjabi Rasoi,"12, Gandhinagar, Munnekollal, Bangalore, Mahadevapura, Brookefield, Bangalore",12.9554742000,77.7129847000,3042
Barbeque Nation,"1/4, Ground Floor, Lido Mall, Swami Vivekanand Road, Ulsoor, Bangalore",12.9736200000,77.6211700000,1654
Chulha Chauki Da Dhaba,"Opposite EMC 2, 2nd Floor, Mahadevapura, Outer Ring Road, Marathahalli, Bangalore",12.9818542876,77.6927037165,3278
The Belgian Waffle Co.,"126, K.H.B Colony, Koramangala 7th Block, Bangalore",12.9342100000,77.6164490000,34
Baskin Robbins,"124, Ground Floor, Surya Chambers, Murgeshpalaya, Old Airport Road, Bangalore",12.9591232702,77.6542619616,31
Great Indian Khichdi by EatFit,"327, Ground Floor, 4th Cross, OMBR Layout, Basavanagudi, Bangalore",13.0083050000,77.6518480000,356
Anjappar,"9, 1st Floor, Curzon Complex, Brigade Road, Bangalore",12.9742458211,77.6077045128,37
Glen's Bakehouse,"616, 17th Main, 80 Feet Road, Koramangala 6th Block, Bangalore",12.9378805552,77.6264068857,310
New Udupi Garden,"9, Ground Floor, Wind Tunnel Road, Murugeshpalaya, Old Airport Road, Bangalore",12.9567057333,77.6536413655,61
LunchBox - Meals and Thalis,"Shop 1, Maruti Sankeema, HAL Third Stage, New Thippasandra Main Road, Thippasandra, Bangalore",12.9713576270,77.6583540067,377
Biryani Blues,"G 02, Phoenix Arcade Showroom, Upper Ground Floor, Church Street, Bangalore",12.9746740000,77.6058510000,234
Theobroma,"82, Mosque Road, Frazer Town, Bangalore",12.9986700000,77.6154800000,11
Aroma's Hyderabad House,"Survey 88, Ground Floor, Venkatdari Building, Next to Nagarjuna Restaurant, Munnekolala, Marathahalli, Bangalore",12.9486740000,77.6988800000,136
Siddique Kabab Centre,"St Johns Church Road, Near Coles Park, Frazer Town, Bangalore",12.9934632190,77.6085272804,553
Ghee And Turmeric,"Unit 45/004 B, Upper Ground Floor, Motati Meadows, Old Madras Road, CV Raman Nagar, Bangalore",12.9938810000,77.6635950000,248
ZAZA 22 Spice Awadhi Biryani,"01 & 02, Lower Ground, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.9806100000,77.6463800000,792
NH1 Bowls - Highway To North,"01 & 02 Lower Ground Smart Avenue, Indiranagar, 80 Feet Road, Indiranagar, Bangalore",12.9806100000,77.6463800000,518
New Udupi Grand,"L 14, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",12.9679584018,77.6524628699,14
WOW! China,"28/4, G-005, Ground Floor, City Center, Church Street, Bangalore",12.9750034764,77.6048379019,26
The Biryani Life,"Shop 1, Maruti Sankeema, HAL Third Stage, New Thipasandra Main Road, Thippasandra, Bangalore",12.9713612209,77.6583439484,315
Samosa Party,"Khata 241, ATR Complex 121, Airport Road, Old Airport Road, Bangalore",12.9587153000,77.6547557800,1
7 Plates,"5/5, Benson Cross Road, Benson Town, Near Family Super Market, Frazer Town, Bangalore",12.9970803223,77.6038930938,3118
UBQ By Barbeque Nation,"1/4, Ground Floor, Lido Mall, Swami Vivekanand Road, Ulsoor, Bangalore",12.9736200000,77.6211700000,1371
Smoor,"First Floor, Trinity Circle, 1 MG Road Mall, Near MG Road, Bangalore",12.9734401358,77.6202210412,556
The Dessert Heaven - Pure Veg,"229, Ground Floor, Muniswappa Sreet, Near Ganesha Temple, Banaswadi, Bangalore",13.0079940000,77.6419450000,20
Kaati Zone Rolls and Wraps,"2/4, Khatha 94, 1st Floor, Taluk Ward 83, Hobli, Kaggadasapura, Bangalore",12.9839644784,77.6786080375,1393
Chai Point,"Near Axis Bank, Trinity Metro Station, MG Road, Bangalore",12.9732728563,77.6166922599,4611
Ludos Pizza,"74-8-1308, Ward 74, Shetty Plaza, Hal 3rd Stage, Puttapa Layout, Jeevan Bhima Nagar, Bangalore",12.9681250000,77.6507868000,570
Delicacy,"Kenchappa Road Cross, Frazer Town, Bangalore",12.9984631840,77.6177061349,273
Chinese BAE,"40, Kodihalli Village, Hal 2nd Stage, Jeevan Bhima Nagar, Bangalore",12.9677649000,77.6545273000,526
Donne Biryani Mane,"3/1, Avs Layout, 80 Feet Road, Near Gkb Opticals, Koramangala 4th Block, Bangalore",12.9368767324,77.6276759058,11
The Good Bowl,"Shop 1, Maruti Sankeema, Hal 3rd Stage, New Thipasandra Main Road, Thippasandra, Bangalore",12.9712563436,77.6583835110,2057
Momoz,"40, Kodihalli Village, Hal 2nd Stage, Jeevan Bhima Nagar, Bangalore",12.9677649000,77.6545273000,1035
Mealful Rolls - India's Biggest Rolls,"Lower Ground 1, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.9806100000,77.6463800000,525
Biggies Burger,"65 Gold Plaza Building, Coles Road, Cleveland Road, Pulikeshi Nagar, Frazer Town, Bangalore",12.9951881000,77.6142152000,43
99 Variety Dosa & Pav Bhaji,"4th Block, Sony World Signal, Koramangala 6th Block, Bangalore",12.9368401346,77.6275635883,162
Keventers - Milkshakes & Desserts,"Shop 1, Third Floor, Garuda Mall, Commissariat Road- Magrath Road Junction, Near Brigade Road, Bangalore",12.9702092011,77.6092115790,22
Mad Over Donuts,"Magrath Road, Garuda Mall, Ashok Nagar, Brigade Road, Bangalore",12.9705032509,77.6093031093,159
FB Cakes,"45/2, Annai Reddy Building, Near Sudarshan Silk, Marathahalli, Bangalore",12.9565120000,77.6965090000,230
ITC Master Chef Creations,"18, Banaswadi Main Road, Maruthi Seva Nagar, Banaswadi, Bangalore",12.9980427400,77.6281033829,505
Ambur Biryani Point,"303, 1st Main, 1st Block, Jakkasandra, Koramangala 1st Block, Bangalore",12.9277392098,77.6373633742,22
Chung Wah,"45/1, Leo Complex, Residency Cross Road, Residency Road, Bangalore",12.9738831651,77.6094372198,353
Donne Biriyani House,"Shop 01, 1st Floor, Building 37/1, Govindappa Cross Road, Ramaswamy Palya, Kammanhalli Main Road, Kammanahalli, Bangalore",13.0108174514,77.6350744441,2633
Laddoos,"J B Nagar Main Road, HAL 3 Stage, Jeevan Bhima Nagar, Bangalore",12.9678890000,77.6528370000,203
Chaayos Chai+Snacks=Relax,"Commerz 1, Bagmane Techpark, K R Puram, CV Raman Nagar, Bangalore",12.9795016000,77.6580343000,397
Cream Stone Ice Cream,"61/64, M M Road, Frazer Town, Bangalore",13.0005875000,77.6153902000,100
Cupcake Bliss Cakes & Desserts,"94, 1st Floor, Main Road, Kaggadasapura, Bangalore",12.9840958135,77.6785047725,1045
Yumlane Pizza,"Tata Sherwood, Survey 16, 2/4, 164/1, 164/2, Basavanagar Main Road, Kaggadasapura, Bangalore",12.9694171600,77.6826716100,45
Starbucks Coffee,"Ground Floor, Ramanashree Arcade, MG Road, Bangalore",12.9728507360,77.6185205206,67
Krispy Kreme,"Krispy Kreme, Adarsh Opus, 1, Old -9, Campball Road, Near Austin Town, Richmond Road, Bangalore",12.9669276000,77.6115022000,60
