rest_id,restaurant,link,cusine,rating,price
38,MOJO Pizza - 2X Toppings,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-indiranagar-bangalore/order,"Pizza, Fast Food, Desserts, Beverages",4.4,₹100 for one
39,Corner House Ice Creams,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,"Ice Cream, Desserts, Shake",4.5,₹100 for one
40,Beijing Bites,https://www.zomato.com/bangalore/beijing-bites-frazer-town/order,"Chinese, Thai, Seafood, Healthy Food, Sichuan",4.1,₹100 for one
41,Andhra Gunpowder,https://www.zomato.com/bangalore/andhra-gunpowder-jeevan-bhima-nagar-bangalore/order,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",4.2,₹100 for one
42,Behrouz Biryani,https://www.zomato.com/bangalore/behrouz-biryani-indiranagar-bangalore/order,"Biryani, Kebab, Hyderabadi, Lucknowi",4.1,₹100 for one
43,Paakashala,https://www.zomato.com/bangalore/paakashala-ulsoor-bangalore/order,"South Indian, North Indian, Chinese, Biryani, Street Food, Beverages",4.2,₹100 for one
44,CakeZone,https://www.zomato.com/bangalore/cakezone-banaswadi-bangalore/order,"Bakery, Desserts",3.9,₹100 for one
45,Sharief Bhai,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",4.1,₹100 for one
46,BOX8 - Desi Meals,https://www.zomato.com/bangalore/box8-desi-meals-indiranagar-bangalore/order,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",4.2,₹250 for one
47,RNR Biryani - Taste Of 1953,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-kammanahalli-bangalore/order,"Biryani, South Indian, Andhra",4.0,₹250 for one
48,Subway,https://www.zomato.com/bangalore/subway-cv-raman-nagar/order,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",3.7,₹250 for one
49,Faasos - Wraps & Rolls,https://www.zomato.com/bangalore/faasos-wraps-rolls-thippasandra-bangalore/order,"Rolls, Wraps, Fast Food",4.0,₹250 for one
50,Paradise Biryani,https://www.zomato.com/bangalore/paradise-biryani-hsr-bangalore/order,"Biryani, North Indian, Kebab",3.8,₹250 for one
51,FreshMenu,https://www.zomato.com/bangalore/freshmenu-cv-raman-nagar/order,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",3.8,₹250 for one
52,Taco Bell,https://www.zomato.com/bangalore/taco-bell-old-madras-road-bangalore/order,"Mexican, Fast Food, Wraps, Beverages",4.1,₹250 for one
53,EatFit,https://www.zomato.com/bangalore/eatfit-banaswadi-bangalore/order,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages",3.8,₹250 for one
54,Dindigul Thalappakatti,https://www.zomato.com/bangalore/dindigul-thalappakatti-mg-road-bangalore/order,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",3.9,₹250 for one
55,California Burrito,https://www.zomato.com/bangalore/california-burrito-1-koramangala-5th-block-bangalore/order,"Mexican, Fast Food, Beverages",4.3,₹250 for one
56,WOW! Momo,https://www.zomato.com/bangalore/wow-momo-1-cv-raman-nagar-bangalore/order,"Momos, Fast Food, Tibetan",4.0,₹250 for one
57,Potful - Claypot Biryanis,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore/order,"Biryani, Kebab, Mughlai, North Indian, Desserts",4.2,₹250 for one
58,Kapoor's Cafe,https://www.zomato.com/bangalore/kapoors-cafe-kalyan-nagar/order,"North Indian, Beverages, Desserts",3.9,₹200 for one
59,Natural Ice Cream,https://www.zomato.com/bangalore/natural-ice-cream-st-marks-road/order,"Ice Cream, Beverages",4.5,₹200 for one
60,Lassi Shop,https://www.zomato.com/bangalore/lassi-shop-3-banaswadi-bangalore/order,"Beverages, Fast Food, Burger, Shake, Juices, Ice Cream, Desserts",3.7,₹200 for one
